business_name,category,city,address,phone,source
A Light in the Attic,Books,Demo City,Demo Address,N/A,BooksToScrape
Tipping the Velvet,Books,Demo City,Demo Address,N/A,BooksToScrape
Soumission,Books,Demo City,Demo Address,N/A,BooksToScrape
Sharp Objects,Books,Demo City,Demo Address,N/A,BooksToScrape
Sapiens: A Brief History of Humankind,Books,Demo City,Demo Address,N/A,BooksToScrape
The Requiem Red,Books,Demo City,Demo Address,N/A,BooksToScrape
The Dirty Little Secrets of Getting Your Dream Job,Books,Demo City,Demo Address,N/A,BooksToScrape
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Books,Demo City,Demo Address,N/A,BooksToScrape
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Books,Demo City,Demo Address,N/A,BooksToScrape
The Black Maria,Books,Demo City,Demo Address,N/A,BooksToScrape
"Starving Hearts (Triangular Trade Trilogy, #1)",Books,Demo City,Demo Address,N/A,BooksToScrape
Shakespeare's Sonnets,Books,Demo City,Demo Address,N/A,BooksToScrape
Set Me Free,Books,Demo City,Demo Address,N/A,BooksToScrape
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Rip it Up and Start Again,Books,Demo City,Demo Address,N/A,BooksToScrape
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Books,Demo City,Demo Address,N/A,BooksToScrape
Olio,Books,Demo City,Demo Address,N/A,BooksToScrape
Mesaerion: The Best Science Fiction Stories 1800-1849,Books,Demo City,Demo Address,N/A,BooksToScrape
Libertarianism for Beginners,Books,Demo City,Demo Address,N/A,BooksToScrape
It's Only the Himalayas,Books,Demo City,Demo Address,N/A,BooksToScrape
In Her Wake,Books,Demo City,Demo Address,N/A,BooksToScrape
How Music Works,Books,Demo City,Demo Address,N/A,BooksToScrape
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Books,Demo City,Demo Address,N/A,BooksToScrape
Chase Me (Paris Nights #2),Books,Demo City,Demo Address,N/A,BooksToScrape
Black Dust,Books,Demo City,Demo Address,N/A,BooksToScrape
Birdsong: A Story in Pictures,Books,Demo City,Demo Address,N/A,BooksToScrape
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Books,Demo City,Demo Address,N/A,BooksToScrape
Aladdin and His Wonderful Lamp,Books,Demo City,Demo Address,N/A,BooksToScrape
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Books,Demo City,Demo Address,N/A,BooksToScrape
Wall and Piece,Books,Demo City,Demo Address,N/A,BooksToScrape
The Four Agreements: A Practical Guide to Personal Freedom,Books,Demo City,Demo Address,N/A,BooksToScrape
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Books,Demo City,Demo Address,N/A,BooksToScrape
The Elephant Tree,Books,Demo City,Demo Address,N/A,BooksToScrape
The Bear and the Piano,Books,Demo City,Demo Address,N/A,BooksToScrape
Sophie's World,Books,Demo City,Demo Address,N/A,BooksToScrape
Penny Maybe,Books,Demo City,Demo Address,N/A,BooksToScrape
Maude (1883-1993):She Grew Up with the country,Books,Demo City,Demo Address,N/A,BooksToScrape
"In a Dark, Dark Wood",Books,Demo City,Demo Address,N/A,BooksToScrape
Behind Closed Doors,Books,Demo City,Demo Address,N/A,BooksToScrape
You can't bury them all: Poems,Books,Demo City,Demo Address,N/A,BooksToScrape
Slow States of Collapse: Poems,Books,Demo City,Demo Address,N/A,BooksToScrape
Reasons to Stay Alive,Books,Demo City,Demo Address,N/A,BooksToScrape
Private Paris (Private #10),Books,Demo City,Demo Address,N/A,BooksToScrape
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Books,Demo City,Demo Address,N/A,BooksToScrape
Without Borders (Wanderlove #1),Books,Demo City,Demo Address,N/A,BooksToScrape
When We Collided,Books,Demo City,Demo Address,N/A,BooksToScrape
"We Love You, Charlie Freeman",Books,Demo City,Demo Address,N/A,BooksToScrape
Untitled Collection: Sabbath Poems 2014,Books,Demo City,Demo Address,N/A,BooksToScrape
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Books,Demo City,Demo Address,N/A,BooksToScrape
Unicorn Tracks,Books,Demo City,Demo Address,N/A,BooksToScrape
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Books,Demo City,Demo Address,N/A,BooksToScrape
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Books,Demo City,Demo Address,N/A,BooksToScrape
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Books,Demo City,Demo Address,N/A,BooksToScrape
This One Summer,Books,Demo City,Demo Address,N/A,BooksToScrape
Thirst,Books,Demo City,Demo Address,N/A,BooksToScrape
The Torch Is Passed: A Harding Family Story,Books,Demo City,Demo Address,N/A,BooksToScrape
The Secret of Dreadwillow Carse,Books,Demo City,Demo Address,N/A,BooksToScrape
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Books,Demo City,Demo Address,N/A,BooksToScrape
The Past Never Ends,Books,Demo City,Demo Address,N/A,BooksToScrape
The Natural History of Us (The Fine Art of Pretending #2),Books,Demo City,Demo Address,N/A,BooksToScrape
The Nameless City (The Nameless City #1),Books,Demo City,Demo Address,N/A,BooksToScrape
The Murder That Never Was (Forensic Instincts #5),Books,Demo City,Demo Address,N/A,BooksToScrape
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Books,Demo City,Demo Address,N/A,BooksToScrape
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Books,Demo City,Demo Address,N/A,BooksToScrape
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Books,Demo City,Demo Address,N/A,BooksToScrape
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Books,Demo City,Demo Address,N/A,BooksToScrape
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Books,Demo City,Demo Address,N/A,BooksToScrape
The Electric Pencil: Drawings from Inside State Hospital No. 3,Books,Demo City,Demo Address,N/A,BooksToScrape
The Death of Humanity: and the Case for Life,Books,Demo City,Demo Address,N/A,BooksToScrape
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Books,Demo City,Demo Address,N/A,BooksToScrape
The Art Forger,Books,Demo City,Demo Address,N/A,BooksToScrape
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Books,Demo City,Demo Address,N/A,BooksToScrape
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Books,Demo City,Demo Address,N/A,BooksToScrape
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Books,Demo City,Demo Address,N/A,BooksToScrape
Soul Reader,Books,Demo City,Demo Address,N/A,BooksToScrape
Security,Books,Demo City,Demo Address,N/A,BooksToScrape
"Saga, Volume 6 (Saga (Collected Editions) #6)",Books,Demo City,Demo Address,N/A,BooksToScrape
"Saga, Volume 5 (Saga (Collected Editions) #5)",Books,Demo City,Demo Address,N/A,BooksToScrape
Reskilling America: Learning to Labor in the Twenty-First Century,Books,Demo City,Demo Address,N/A,BooksToScrape
